1272;1754
369;373
1343;1687
1597;2948
2136;2683
2390;2901
1215;2049
2075;2711
113;872
1255;1280
2466;2856
1763;2561
820;843
269;1787
2307;2617
2530;2723
169;959
1658;2733
1169;1390
247;402
284;408
125;1318
548;809
421;2085
476;944
1029;1702
1339;2546
2217;2435
540;713
2211;2901
2483;2968
912;1044
1216;1342
1808;2002
2473;2746
785;1671
1949;2367
832;2194
1854;1981
647;1049
1285;2542
153;749
2161;2764
265;735
1737;2533
111;1082
1271;1674
2388;2721
1715;2434
2206;2744
932;1676
1298;2741
841;1575
1348;2592
1297;2610
490;712
291;953
2367;2834
2107;2168
2214;2870
45;762
317;885
569;1024
1265;1891
532;968
1522;2942
1760;1923
377;1655
121;221
158;570
1226;1610
788;981
368;1374
2609;2784
420;497
2129;2178
1263;2598
1063;1194
1469;1935
185;745
2164;2956
2301;2876
1233;1364
2663;2797
2090;2702
1997;2843
1902;2742
336;408
2369;2838
1953;1964
101;359
285;352
687;2364
1813;1892
1104;1146
1430;2460
2119;2519
2117;2953
315;535
236;1229
2243;2594
174;1051
120;462
1371;1573
1483;2532
264;1527
275;1841
73;841
255;1105
1419;1568
2358;2502
290;730
1837;1846
74;1125
888;1501
2522;2775
372;834
2368;2660
489;938
1802;1879
2252;2640
97;1085
2483;2787
2647;2730
296;933
2252;2727
2508;2873
691;728
2256;2700
461;1066
43;557
320;342
1980;2815
268;654
1410;1513
605;659
1898;2832
143;766
2550;2618
2544;2684
754;1366
778;955
2238;2247
628;859
208;1126
689;745
1740;2310
283;745
1611;2611
2207;2209
1830;2323
2388;2824
1943;1961
1597;1921
2530;2531
1383;2204
300;835
488;547
1902;2416
589;707
2076;2218
2292;2375
2408;2689
1019;1194
1211;2116
361;452
2635;2869
487;700
214;1116
308;1041
50;632
3;690
204;2472
644;1949
190;451
392;534
875;1533
1417;2864
453;687
2369;2588
2019;2800
384;2302
1315;1617
46;982
86;771
1228;1954
1866;2149
2589;2856
550;1126
1262;2005
401;506
110;116
643;1169
95;736
1978;2773
268;878
1466;1569
53;156
77;133
2497;2894
1512;2367
2104;2776
1545;2431
877;959
125;570
291;1176
2720;2934
799;1028
1835;2530
1226;1260
2887;2898
1480;2292
493;2163
429;735
319;607
35;824
1550;2282
127;1778
1671;2145
775;1196
2419;2471
256;747
2582;2638
1920;2123
161;966
477;868
1404;1975
1243;1917
2161;2917
1516;2683
1515;1665
247;527
1540;1602
2096;2663
2020;2502
204;706
5;1023
69;204
1775;2848
679;1031
2368;2471
1238;1298
1141;1881
224;1663
465;599
